isbn|name|category|writer|publisher|first_pub_date|page_count
9786051853154|Son|Roman|Ayşe Kulin|Everest Yayınları|2018|304
9786053757818|Fahrenheit 451|Roman|Ray Bradbury|İthaki Yayınları|2018|208
9786050955804|Kumandanı Öldürmek|Roman|Haruki Murakami|Doğan Kitap|2018|848
9786053326090|Olağanüstü Bir Gece|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2015|80
9786053606116|Satranç|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2012|77
9786053606604|Bilinmeyen Bir Kadının Mektubu|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2012|68
9786056842689|Antika Titanik|Roman|Murat Menteş|April Yayıncılık|2018|360
9789755705859|Fareler ve İnsanlar|Roman|John Steinbeck|Sel Yayıncılık|2012|128
9789753638029|Kürk Mantolu Madonna|Roman|Sabahattin Ali|Yapı Kredi Yayınları|1998|164
9786053609322|Dönüşüm|Roman|Franz Kafka|İş Bankası Kültür Yayınları|2013|74
9789750719387|Hayvan Çiftliği|Roman|George Orwell|Can Yayınları|2001|160
9789756902165|Cesur Yeni Dünya|Roman|Aldous Huxley|İthaki Yayınları|2003|349
9789750738746|Sarsıntı|Roman|Barış İnce|Can Yayınları|2018|120
9789750724756|Yabancı|Roman|Albert Camus|Can Yayınları|1996|119
9789754582901|Sineklerin Tanrısı|Roman|William Golding|İş Bankası Kültür Yayınları|2006|262
9789754589023|Suç ve Ceza - Hasan Ali Yücel Klasikleri|Roman|Fyodor Mihayloviç Dostoyevski|İş Bankası Kültür Yayınları|2006|704
9786052980811|Körlük|Roman|Jose Saramago|Kırmızı Kedi|2017|336
9786052955857|Lyon'da Düğün|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2018|56
9789750726439|Simyacı|Roman|Paulo Coelho|Can Yayınları|2010|166
9786053329527|Bir Çöküşün Öyküsü|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2017|56
9789750718533|1984|Roman|George Orwell|Can Yayınları|2000|352
9789753638036|İçimizdeki Şeytan|Roman|Sabahattin Ali|Yapı Kredi Yayınları|2016|254
9786053043249|Üç Kız Kardeş|Roman|İclal Aydın|Artemis Yayınları|2018|372
9786052956588|Kalede 1 Başına|Roman|Sunay Akın|İş Bankası Kültür Yayınları|2018|192
9789755706849|Bülbülü Öldürmek|Roman|Harper Lee|Sel Yayıncılık|2014|355
9789750738784|Sıradan Bir Gün|Roman|Yekta Kopan|Can Yayınları|2018|184
9786059702942|Fırtınada Yanacaksın|Roman|John Verdon|Koridor Yayıncılık|2018|528
9786052951569|Altıncı Koğuş|Roman|Anton Pavloviç Çehov|İş Bankası Kültür Yayınları|2017|72
9789750800016|Kuyucaklı Yusuf|Roman|Sabahattin Ali|Yapı Kredi Yayınları|2001|220
